0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;;;;;;;;;;;;;;;;;;;;;
Nazwa;Waga nom.;S;DS.;O;P;K;CUSTOM;Samodzielne;Podkategoria;Kategoria glowna;Typ;Kalorie;Tluszcz;Bialko;Weglowodany;Blonnik pokarmowy;Cholesterol;Sod;Potas;Wapn;Fosfor;Magnez;Zelazo;Cynk;Miedz;Mangan;Wit A;Wit D;Wit E;Tiamina;Ryboflawina;Niacyna;Wit B6;Foliany;Wit B12;Wit C
Brukselka z wody;150;;;Y;;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;110;7,1;4,2;12;4,6;20;22;348;49;33;18;0,8;0,76;0,06;0,4;112;0,07;0,84;0,047;0,106;0,41;0,16;65,8;0;42,9
Bryzol wolowy z poledwicy smazony;150;;;Y;;Y;;Y;Potrawy z wolowiny;Potrawy miesne;Potrawy;253;16,6;24,7;1,4;0;82;63;467;6;259;32;3,8;3,57;0,13;0,05;41;0,52;2,45;0,121;0,316;6,75;0,25;10,3;1,7;0
Brzoskwinia;;;;;;;;;;;;46;0,2;1;11,9;1,9;0;3;200;9;24;8;0,6;0,14;0,05;0,13;99;0;0,96;0,022;0,054;0,97;0,02;4;0;2,7
Brzoskwinia w syropie;;;;;;;;;;;;73;0,1;0,4;18,2;0,9;0;6;92;3;11;6;0,3;0,31;0,04;0,05;43;0;0,5;0,01;0,025;0,6;0,02;7;0;4
Budyn w proszku;100;;Y;;Y;;Y;Y;Desery mleczne;Desery;Produkty;369;0,1;0,3;90,5;0,2;0;3;9;23;34;5;0,3;0,04;0,01;0,1;0;0;0;0;0;0;0,01;7,4;0;0,7
Budyn z miesa i makaronu;200;;;Y;;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;172;4,4;10,7;23;1;61;60;223;44;129;17;1,4;1,08;0,13;0,18;108;0,3;0,49;0,081;0,188;1,83;0,08;16,1;0,62;1,4
Bukiet z jarzyn wiosennych mrozony;100;;Y;Y;Y;Y;;Y;mieszanki warzywne mrozone;warzywa i przetwory warzywne;Produkty;30;0,3;2,8;7,5;3,6;0;19;235;33;36;15;0,8;0,48;0,08;0,25;258;0;0,34;0,093;0,092;0,65;0,14;58;0;29,6
Bukiet z jarzyn z makaronem mrozony;100;;Y;Y;Y;Y;;Y;mieszanki warzywne mrozone;warzywa i przetwory warzywne;Produkty;133;1,2;5,3;27,8;3,1;15;23;244;29;83;36;1,4;0,93;0,15;0,49;428;0,02;0,85;0,175;0,102;1,5;0,2;48;0,02;27,8
Bukiet z jarzyn z ryzem mrozony;100;;Y;Y;Y;Y;;Y;mieszanki warzywne mrozone;warzywa i przetwory warzywne;Produkty;66;0,3;2,4;15,6;2,3;0;16;261;16;54;15;0,7;0,59;0,11;0,28;251;0;0,87;0,089;0,062;1,03;0,18;38;0;28,7
Buleczki do hot-dogow;50;;Y;Y;Y;Y;;;Pieczywo pszenne wyborowe;Produkty zbozowe;Produkty;341;7,5;9,5;59,8;1,8;24;435;154;40;105;22;1,3;0,93;0,1;0,33;58;0,45;1,48;0,117;0,135;0,96;0,06;41,8;0,13;0
Buleczki drozdzowe z jablkami;50;Y;Y;;Y;;;Y;Pieczywo pszenne polcukiernicze;Produkty zbozowe;Produkty;272;7,2;6,2;47,3;2,2;35;104;156;41;69;11;1,3;0,6;0,07;0,23;71;0,5;1,51;0,075;0,135;0,72;0,04;35,7;0,18;2
Buleczki drozdzowe z nadzieniem makowym;50;Y;Y;;Y;;;Y;Pieczywo pszenne polcukiernicze;Produkty zbozowe;Produkty;352;8,1;7,8;63,8;2,6;2;280;135;65;94;29;1,2;0,6;0,08;0,34;53;0,34;1,49;0,078;0,074;0,87;0,04;38;0,01;0,1
Buleczki drozdzowe z nadzieniem serowym;50;Y;Y;;Y;;;Y;Pieczywo pszenne polcukiernicze;Produkty zbozowe;Produkty;339;6,9;8,5;61,7;1,8;5;283;106;23;73;11;0,9;0,55;0,07;0,2;58;0,35;1,42;0,077;0,108;0,85;0,03;37,9;0,07;0,1
Buleczki drozdzowe z powidlami sliwkowymi;50;Y;Y;;Y;;;Y;Pieczywo pszenne polcukiernicze;Produkty zbozowe;Produkty;343;6,5;7;65,2;2;2;280;135;20;56;13;1,1;0,48;0,08;0,21;62;0,34;1,43;0,083;0,072;0,91;0,03;36,6;0,01;0,1
Buleczki z jablkiem i kruszonka;50;Y;Y;;Y;;;Y;Pieczywo pszenne polcukiernicze;Produkty zbozowe;Produkty;270;7;6,7;45,9;1,5;73;72;125;32;77;9;0,9;0,63;0,06;0,14;93;0,38;0,69;0,06;0,152;0,51;0,04;23,9;0,29;1,2
Bulka tarta;;;;;;;;;;;;347;1,9;9,7;77,6;6,1;0;503;202;27;165;42;2,2;1,62;0,19;1,06;0;0;0,3;0,164;0,059;1,13;0,13;25;0;0
Bulki grahamki;50;Y;Y;;Y;Y;;Y;Pieczywo pszenne;Produkty zbozowe;Produkty;252;1,7;9;56,1;6,7;0;473;228;24;191;65;2,3;2;0,22;1,48;0;0;0,87;0,254;0,079;4,14;0,17;43,3;0;0
Bulki i rogale maslane;50;Y;;;Y;;;Y;Pieczywo pszenne polcukiernicze;Produkty zbozowe;Produkty;327;5,9;8,5;61;1,8;8;398;133;33;88;20;1,1;0,8;0,1;0,33;39;0,29;1,18;0,107;0,098;0,86;0,05;33,8;0,08;0
Bulki mieszane z cebula;50;Y;;;Y;;;Y;Pieczywo mieszane;Produkty zbozowe;Produkty;284;3,5;7,9;58,4;4;1;599;184;23;104;32;1,5;1,26;0,14;0,74;1;0;0,69;0,194;0,115;1,61;0,13;49;0;1,4
Bulki mleczne;50;;;;;;;;Pieczywo pszenne wyborowe;Produkty zbozowe;Produkty;314;4,5;9,2;60,3;2;2;435;149;40;96;22;1,2;0,86;0,1;0,36;24;0,16;0,91;0,118;0,104;0,95;0,05;36,8;0,07;0,1
Bulki owsiane;50;;;;;;;;Pieczywo pszenne wyborowe;Produkty zbozowe;Produkty;304;4,5;9,3;58,4;2,6;0;417;198;53;153;39;1,5;1,2;0,17;0,93;14;0,12;1,03;0,154;0,124;0,93;0,06;39,2;0,05;0,1
Bulki pszenne zwykle;50;;;;;;;;Pieczywo pszenne;Produkty zbozowe;Produkty;273;1,5;8,1;57,7;1,8;0;379;112;15;74;18;1,1;0,74;0,1;0,33;0;0;0,38;0,102;0,057;0,82;0,04;28,4;0;0
Bulki pszenne zwykle z serwatka;50;;;;;;;;Pieczywo pszenne;Produkty zbozowe;Produkty;277;1,6;8,8;58;2,1;0;601;197;43;110;23;1,7;0,87;0,17;0,33;0;0;0,39;0,146;0,187;1,42;0,08;61,5;0,07;0
Bulki sojowe;50;Y;;;Y;;;Y;Pieczywo pszenne wyborowe;Produkty zbozowe;Produkty;315;4;10,1;61,1;2,3;0;413;216;45;114;30;1,4;0,96;0,15;0,45;14;0,11;0,76;0,116;0,104;0,98;0,06;40,9;0,04;0
Bulki szwedki;50;;;;;;;;Pieczywo pszenne wyborowe;Produkty zbozowe;Produkty;272;1,3;7,6;58,8;2,4;0;406;125;20;79;21;1,2;0,85;0,11;0,46;0;0;0,33;0,108;0,065;0,8;0,05;27,9;0;0
Bulki wroclawskie;50;;;;;;;;Pieczywo pszenne wyborowe;Produkty zbozowe;Produkty;294;4,4;8;56,6;1,8;0;402;111;15;73;18;1,1;0,73;0,09;0,32;20;0,17;0,96;0,102;0,06;0,84;0,04;30,3;0;0
Burak;;;;;;;;;;;;38;0,1;1,8;9,5;2,2;0;52;348;41;17;17;1,7;0,57;0,1;0,44;2;0;0,03;0,02;0,05;0,4;0,05;87;0;10
Buraki gotowane;150;;;Y;;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;71;3,5;1,6;10;1,8;0;46;278;33;14;14;1,4;0,46;0,08;0,35;30;0,21;1,07;0,011;0,032;0,22;0,03;42,6;0;4,4
Buraki puree mrozone;;;;;;;;;;;;34;0,1;1,6;8,6;2;0;42;282;33;14;14;1,4;0,46;0,08;0,36;2;0;0,03;0,016;0,041;0,32;0,04;70;0;6,3
Buraki z jablkami;150;;Y;Y;;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;70;3,3;1,5;10,3;1,8;0;44;272;32;14;13;1,3;0,45;0,08;0,34;28;0,2;1,03;0,013;0,032;0,22;0,03;40,5;0;4,5
Buraki zasmazane;150;;;Y;;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;83;5,5;1,6;8,6;1,7;5;39;264;32;14;13;1,3;0,44;0,08;0,34;1;0;0,09;0,013;0,03;0,21;0,03;40,4;0;4,2
Buraki ze smietana;150;;;Y;Y;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;66;3,4;1,8;8,8;1,7;10;43;274;43;22;14;1,3;0,47;0,08;0,33;28;0,03;0,1;0,014;0,042;0,21;0,03;40,4;0,03;4,1
Cebula;;;;;;;;;;;;30;0,4;1,4;6,9;1,7;0;6;121;25;14;8;0,5;0,24;0,06;0,17;2;0;0,12;0,03;0,03;0,2;0,1;17;0;6
Cebula konserwowa;;;;;;;;;;;;52;0,2;0,7;12,4;0,8;0;772;59;13;7;10;0,2;0,12;0,03;0,09;1;0;0,05;0,013;0,014;0,09;0,05;5,5;0;1,5
Cebula mrozona;;;;;;;;;;;;28;0,4;1,3;6,2;1,5;0;5;109;23;13;7;0,5;0,22;0,05;0,15;2;0;0,11;0,027;0,027;0,18;0,09;15,3;0;5,4
Chalki zdobne;50;;Y;;Y;;;Y;Pieczywo pszenne polcukiernicze;Produkty zbozowe;Produkty;333;7;7,8;60,8;1,8;4;279;113;15;74;17;1,1;0,74;0,09;0,31;39;0,32;1,49;0,104;0,077;0,89;0,04;38;0,02;0
Chalwa kakaowa;;;;;;;;;;;;517;33,5;14,6;45,7;5,9;0;124;214;61;409;200;3,1;1,5;0,7;0,76;1;0;1,32;0,409;0,236;3,93;0,41;50,9;0;0
Chalwa waniliowa;;;;;;;;;;;;516;33,1;14,2;46,4;5,7;0;123;198;58;395;193;3;1,43;0,67;0,73;1;0;1,29;0,399;0,228;3,83;0,4;49,5;0;0
Chalwa z bakaliami;;;;;;;;;;;;510;34,4;16,5;39,8;5,6;0;87;303;66;422;204;3,3;1,63;0,74;0,84;1;0;1,92;0,447;0,237;4,77;0,44;56,3;0;0,1
Chalwa z orzechami;;;;;;;;;;;;537;37,4;17,7;38,7;5,7;0;87;318;63;427;207;3,3;1,88;0,76;0,94;1;0;2,95;0,485;0,228;6,2;0,42;65,6;0;0
Chipsy bekonowe;75;;y;;y;;y;y;Chipsy;Przekaski;Produkty;537;38;5,9;52,2;8,7;0;746;828;31;118;45;1,7;0,73;0,23;0,23;0;0;6,85;0,715;0,325;3,15;0,89;20;0;17
Chipsy paprykowe;75;;y;;y;;y;y;Chipsy;Przekaski;Produkty;549;40;6;50,4;8,4;0;859;893;34;114;48;1,6;0,65;0,23;0,27;0;0;7,86;0,224;0,128;2,24;0,8;20;0;17
Chipsy solone;75;;y;;y;;y;y;Chipsy;Przekaski;Produkty;552;40,7;5,6;49,9;8,3;0;690;801;18;89;43;1,7;0,76;0,29;0,24;0;0;8,28;0,163;0,146;2,04;0,81;20;0;17
Chleb baltonowski;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;251;1,5;7;54,8;3,3;0;434;136;16;91;26;1,2;1,08;0,12;0,65;0;0;0,54;0,165;0,077;1,3;0,1;29,2;0;0
Chleb beskidzki;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;248;1,7;7,5;55,7;5,8;1;497;243;60;169;47;1,7;1,9;0,16;1,77;0;0;0,71;0,17;0,135;1,19;0,14;29;0,07;0,1
Chleb chrupki;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;353;2,4;8,7;78,9;6;0;272;448;42;331;100;4;4,1;0,37;4,53;2;0;1,28;0,257;0,193;1,06;0,23;40;0;0
Chleb ekstrudowany pszenny;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;381;5,2;9,2;78,3;5;0;499;178;40;141;30;1,5;0,95;0,14;0,77;4;0;0,13;0,078;0,097;1,29;0,09;0;0;0
Chleb ekstrudowany zytni;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;383;6,1;8,2;78,6;5,8;0;396;205;42;145;34;1,6;1,03;0,14;1,11;4;0;0,1;0,092;0,228;0,31;0,1;0;0;0
Chleb graham;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;221;1,7;8,3;48,7;6,4;0;434;215;22;182;62;2,2;1,9;0,21;1,42;0;0;0,88;0,237;0,07;3,99;0,16;39;0;0
Chleb mazowiecki;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;254;1,4;7,6;55;3,2;0;395;140;16;98;29;1,3;1,12;0,12;0,66;0;0;0,53;0,178;0,075;1,47;0,11;29,4;0;0
Chleb mieszany jasny rodzynkowy;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;261;1,4;5,8;58,6;3,1;0;558;136;17;73;20;1;0,75;0,09;0,42;0;0;0,28;0,101;0,062;0,68;0,06;24,2;0;0
Chleb mieszany pytlowy z cebula;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;259;3,6;5,7;54,2;4,1;2;520;157;20;87;27;1,2;1,12;0,13;0,78;1;0;0,51;0,14;0,086;0,95;0,11;28,6;0;1
Chleb mieszany razowy z bakaliami;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;247;3,9;7,2;51,4;6,3;0;404;280;28;180;59;2,1;1,99;0,22;1,94;0;0;0,81;0,17;0,109;1,47;0,17;34,8;0;0
Chleb mieszany sitkowy z ziarnami;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;242;3;8;50,5;5,4;0;380;274;28;170;54;1,9;1,73;0,25;1,53;0;0;1,33;0,191;0,096;1,46;0,16;32,7;0;0
Chleb mieszany slonecznikowy;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;240;4,5;6,8;48,9;6,4;0;387;250;28;184;64;1,8;1,92;0,28;2,03;0;0;2,52;0,203;0,101;1,4;0,16;27,5;0;0
Chleb mieszany z platkami owsianymi;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;238;2,3;7;54,2;7,7;0;411;295;28;217;68;2,4;2,47;0,26;2,68;0;0;0,93;0,17;0,112;1,1;0,15;33,9;0;0
Chleb mieszany z soja;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;226;2,7;7,1;49,2;6,6;0;387;320;33;169;50;2;1,84;0,24;1,86;0;0;0,65;0,162;0,093;0,98;0,16;33,4;0;0
Chleb mleczny;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;256;1,5;7,7;55,3;3,2;0;397;175;46;112;29;1,2;1,16;0,12;0,65;0;0;0,54;0,169;0,114;1,3;0,1;28,3;0,05;0,1
