0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;;;;;;;;;;;;;;;;;;;;;
Nazwa;Waga nom.;S;DS.;O;P;K;CUSTOM;Samodzielne;Podkategoria;Kategoria glowna;Typ;Kalorie;Tluszcz;Bialko;Weglowodany;Blonnik pokarmowy;Cholesterol;Sod;Potas;Wapn;Fosfor;Magnez;Zelazo;Cynk;Miedz;Mangan;Wit A;Wit D;Wit E;Tiamina;Ryboflawina;Niacyna;Wit B6;Foliany;Wit B12;Wit C
Groszek ptysiowy;;;;;;;;;;;;476;30,2;14,9;37,6;1,2;281;529;161;48;194;18;2,3;1,66;0,09;0,15;362;2,58;5,22;0,085;0,452;0,51;0,07;38,9;0,37;0
Groszek zielony;;;;;;;;;;;;75;0,4;6,7;17;6;0;2;353;22;122;29;1,9;1,4;0,3;0,63;68;0;0,39;0,34;0,16;2,7;0,16;62;0;34,2
Groszek zielony gotowany, z maslem;150;;;Y;;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;100;6,8;3,7;9,3;3,2;20;2;192;13;67;16;1;0,76;0,16;0,34;91;0,07;0,37;0,123;0,07;0,97;0,06;20,6;0;10,3
Groszek zielony konserwowy bez zalewy;;;;;;;;;;;;63;0,2;4,9;15,8;5,7;0;178;114;40;73;28;1,7;0,83;0,16;0,42;42;0;0,17;0,107;0,076;0,84;0,04;22;0;4
Groszek zielony mrozony;;;;;;;;;;;;72;0,4;6,4;16,3;5,8;0;2;305;19;105;25;1,6;1,21;0,26;0,54;65;0;0,37;0,294;0,138;2,33;0,14;53,3;0;23
Gruszka;50;y;y;;y;y;y;y;owoce swieze;owoce i przetwory owocowe;Produkty;54;0,2;0,6;14,4;2,1;0;2;118;12;15;8;0,3;0,15;0,06;0,06;2;0;0,4;0,019;0,037;0,09;0,02;10;0;5,3
Gruszki w sosie waniliowym;150;Y;Y;Y;Y;Y;;Y;Desery;Desery;Potrawy;152;1,1;1,6;34,8;1,4;20;15;112;36;39;8;0,3;0,25;0,05;0,05;19;0,09;0,28;0,018;0,081;0,08;0,03;5,9;0,17;1
Gujawa;;;;;;;;;;;;38;0,6;0,8;11,9;4,7;0;5;210;12;23;11;0,4;0,18;0,09;0,09;79;0;0,9;0,05;0,05;1,2;0,14;5;0;230
Gulasz wolowy duszony;150;;;Y;;Y;;Y;Potrawy z wolowiny;Potrawy miesne;Potrawy;148;9,2;14,1;2,6;0,3;38;53;267;6;137;18;1,6;2,5;0,07;0,06;21;0,26;1,76;0,046;0,151;3,62;0,23;6,6;0,91;1,2
Halibut bialy swiezy;;;;;;;;;Ryby swieze;Ryby i przetwory rybne;Produkty;98;1,9;20,1;0;0;41;67;446;14;202;28;0,5;0,4;0,2;0,01;32;5;0,85;0,078;0,07;5,9;0,42;12;1;0
Herbata napar bez cukru;;;;;;;;;;;;0;0;0,1;0;0;0;11;16;5;1;2;0,1;0,07;0;0,34;0;0;0;0;0,01;0,1;0;5;0;0
Herbatniki;;;;;;;;;;;;437;11;8,2;76,8;1,3;42;297;123;35;157;29;1,3;0,69;0,25;0,61;16;0,06;1,1;0,136;0,099;0,83;0,06;14;0,07;0
"Herbatniki ""Corso""";;;;;;;;;;;;440;17,2;5;67,1;1,3;16;111;144;27;60;13;1,1;0,53;0,1;0,21;29;0,07;0,76;0,074;0,067;0,42;0,04;13,5;0,09;0,3
Herbatniki kakaowe;;;;;;;;;;;;474;22,3;6,9;62,9;1,6;24;137;182;50;116;31;1,3;0,94;0,25;0,33;20;0,1;0,95;0,078;0,102;0,44;0,04;18;0,12;0
Herbatniki kokosowe;;;;;;;;;;;;474;25,2;6,4;59,8;4,5;21;141;192;49;105;25;1,3;0,72;0,15;0,48;18;0,09;0,9;0,07;0,085;0,44;0,04;17,2;0,12;0,1
Herbatniki sezamowe;;;;;;;;;;;;503;28,6;8,1;55,7;2,2;13;133;128;53;175;61;1,5;0,89;0,24;0,38;11;0,06;1,21;0,148;0,117;1,29;0,11;20,9;0,07;0
Herbatniki w czekoladzie;;;;;;;;;;;;489;24;6,3;63,1;1,2;9;134;426;44;116;44;2,5;0,68;0,16;0,26;8;0,04;1,24;0,073;0,21;0,5;0,03;15,4;0,05;0
Herbatniki w czekoladzie z orzechami;;;;;;;;;;;;492;23,7;6;64,7;1,2;13;140;279;52;105;30;1,7;0,67;0,12;0,24;12;0,06;1,12;0,072;0,153;0,41;0,03;15,5;0,08;0
Herbatniki z cukrem;;;;;;;;;;;;460;17,2;6,7;70,7;1,6;15;130;97;38;86;13;0,9;0,69;0,09;0,26;12;0,06;0,82;0,086;0,064;0,39;0,04;19,6;0,07;0
Herbatniki z czekolada;;;;;;;;;;;;493;25,5;5,9;61,2;1,2;14;134;240;44;96;26;1,5;0,62;0,11;0,23;11;0,06;1,15;0,071;0,132;0,39;0,03;15,5;0,07;0
Herbatniki z nadzieniem czekoladowym;;;;;;;;;;;;497;27,9;5,5;57,3;1,3;12;128;188;68;107;30;1,1;0,77;0,22;0,34;11;0,04;1,86;0,062;0,099;0,35;0,04;12,9;0,12;0,2
Herbatniki z nadzieniem owocowym;;;;;;;;;;;;390;16,1;3,8;58,6;1,5;10;120;180;37;56;14;1,3;0,42;0,11;0,19;37;0,04;0,7;0,067;0,052;0,47;0,04;10;0,05;0,6
Indyk tuszka;;;;;;;;;Indyk;Mieso i przetwory miesne;Produkty;129;6,8;17;0;0;74;63;300;6;226;27;0,6;2;0,04;0,04;13;1,4;0,5;0,048;0,18;6;0,47;16;0,4;0
Irysy, krowki;;;;;;;;;;;;421;10,7;4,3;76,1;0;50;97;266;181;130;19;0,2;0,65;0,05;0,03;40;0;0;0,062;0,231;0,15;0,03;0;0;0
Jablecznik ze swiezych jablek;;;;;;;;;;;;318;9,3;3,4;56,8;2,2;11;57;123;20;38;8;0,9;0,4;0,06;0,22;74;0,58;2,05;0,046;0,049;0,37;0,03;8,9;0,05;2,6
Jablka pieczone;100;Y;Y;;Y;Y;;Y;Desery;Desery;Potrawy;93;1,6;0,3;20,8;1,6;4;2;105;3;7;2;0,2;0,13;0,03;0,06;14;0,01;0,38;0,024;0,021;0,13;0,02;2,4;0;5,6
Jablka suszone;50;y;y;;y;y;y;y;owoce suszone;owoce i przetwory owocowe;Produkty;238;2,1;2,1;62,3;10,3;0;10;665;20;45;15;1,5;0,79;0,2;0,4;21;0;2,5;0,175;0,134;1,03;0,16;6;0;11,6
Jablka w ciescie francuskim;;;;;;;;;;;;397;22,7;4,4;46,1;2,2;16;157;131;21;40;7;0,9;0,39;0,06;0,18;176;1,42;4,69;0,05;0,061;0,44;0,02;12,6;0,06;2,8
Jablka w kruchym ciescie;100;Y;Y;;Y;Y;;Y;Desery;Desery;Potrawy;348;17,4;4,4;45;1,7;25;36;109;13;41;6;0,7;0,39;0,05;0,12;153;1,26;3,39;0,047;0,058;0,34;0,02;13,8;0,11;3,8
Jablko;50;y;y;;y;y;y;y;owoce swieze;owoce i przetwory owocowe;Produkty;46;0,4;0,4;12,1;2;0;2;134;4;9;3;0,3;0,16;0,04;0,08;4;0;0,49;0,034;0,026;0,17;0,03;6;0;9,2
Jagodzianki;;;;;;;;;;;;316;5,2;7,4;61;2;40;137;116;36;77;11;1,1;0,68;0,08;0,33;57;0,38;1,3;0,07;0,134;0,71;0,04;31,8;0,21;1,6
Jaja gotowane;100;Y;Y;Y;Y;Y;;Y;Potrawy z jaj;Potrawy z jaj;Potrawy;109;7,6;9,8;0,5;0;282;113;107;38;163;10;1,8;1,41;0,05;0,02;194;1,36;0,52;0,043;0,434;0,05;0,07;40,5;1,14;0
Jaja kurze cale;;;;;;;;;Jaja;Mleko i przetwory mleczne;Produkty;139;9,7;12,5;0,6;0;360;141;133;47;204;12;2,2;1,76;0,06;0,03;272;1,7;0,73;0,064;0,542;0,06;0,1;65;1,6;0
Jaja sadzone;100;Y;Y;Y;Y;Y;;Y;Potrawy z jaj;Potrawy z jaj;Potrawy;168;14,2;9,9;0,6;0;302;111;105;38;160;9;1,7;1,38;0,05;0,02;247;1,4;0,69;0,043;0,428;0,05;0,07;39,8;1,25;0
Jajecznica;150;Y;Y;Y;Y;Y;;Y;Potrawy z jaj;Potrawy z jaj;Potrawy;119;8,7;9,8;0,5;0;283;111;104;37;160;9;1,7;1,38;0,05;0,02;189;1,34;0,53;0,047;0,427;0,08;0,07;39,6;1,26;0
Jarmuz;100;Y;Y;;Y;Y;y;y;Warzywa;warzywa i przetwory warzywne;Produkty;29;0,7;3,3;6,1;3,8;0;12;530;157;56;30;1,7;0,44;0,09;0,55;892;0;1,7;0,11;0,2;1,6;0,27;120;0;120
Jogurt bananowy 1,5% tluszczu;100;Y;Y;;Y;Y;;Y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;70;1,5;3,7;10,4;0,2;7;48;215;132;97;18;0,2;0,39;0,04;0,08;20;0,02;0,09;0,044;0,194;0,18;0,1;7,4;0,36;2,1
Jogurt jagodowy 1,5% tluszczu;100;Y;Y;;Y;Y;;Y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;62;1,5;3,7;8,8;0,4;7;48;170;134;96;14;0,2;0,42;0,04;0,13;20;0,02;0,31;0,041;0,183;0,15;0,06;5,4;0,36;2,8
Jogurt morelowy 1,5% tluszczu;100;Y;Y;;Y;Y;;Y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;63;1,5;3,7;8,9;0,3;6;47;200;133;96;14;0,2;0,38;0,04;0,05;57;0,01;0,13;0,043;0,185;0,23;0,06;5,3;0,35;1,9
Jogurt naturalny 2% tluszczu;;;;;;;;;;;;60;2;4,3;6,2;0;8;63;200;170;122;17;0,1;0,46;0,03;0;16;0,03;0,03;0,046;0,216;0,14;0,06;10;0,5;1
Jogurt truskawkowy 1,5% tluszczu;100;Y;Y;;Y;Y;;Y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;60;1,5;3,7;8,2;0,3;6;47;179;134;97;15;0,2;0,37;0,04;0,05;19;0,01;0,07;0,043;0,187;0,15;0,06;6,9;0,35;9,9
Jogurt wisniowy 1,5% tluszczu;100;Y;Y;;Y;Y;;Y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;61;1,5;3,7;8,2;0,1;7;49;182;134;98;15;0,2;0,38;0,04;0,03;24;0,02;0,07;0,046;0,189;0,17;0,06;5,7;0,36;2,5
Kabanosy;50;y;y;y;y;y;;y;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;326;24,3;27,4;0;0;86;1327;467;11;284;34;2,3;3,63;0,13;0,05;0;0,92;0,35;0,848;0,33;8,09;0,69;3,2;0,86;0
Kabanosy z kurczaka;50;y;y;y;y;y;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;247;17,4;22,8;0,1;0;97;885;415;13;259;39;1;1,35;0,12;0,05;18;0,19;0,33;0,11;0,256;6,51;0,42;9,5;0,43;0
Kaczka tuszka;;;;;;;;;Kaczka;Mieso i przetwory miesne;Produkty;308;28,6;13,5;0;0;76;66;242;8;149;14;2,1;1,42;0,14;0,03;24;1,4;0,2;0,177;0,226;3,45;0,1;13;0,2;0
Kajzerki;50;Y;Y;Y;Y;Y;;Y;Pieczywo pszenne wyborowe;Produkty zbozowe;Produkty;296;3,6;8,4;58,6;1,9;0;463;116;16;77;19;1,1;0,77;0,1;0,34;14;0,12;0,82;0,107;0,063;0,87;0,04;31,7;0;0
Kakao 16% proszek;;;;;;;;;;;;448;21,7;18,2;50,6;5,7;0;17;1927;138;666;420;10,7;6,56;3,71;2,49;2;0;0,37;0,11;0,46;2,4;0,07;38;0;0
Kakao rozpuszczalne z witaminami;30;Y;Y;;Y;;y;y;Napoje mleczne;Mleko i przetwory mleczne;;404;3,1;3,8;89,8;1;0;126;307;31;137;85;2,1;1,33;0,76;0,51;804;5;0,07;1,422;1,692;0,48;2,01;7,6;0;0
Kalafior;;;;;;;;;;;;22;0,2;2,4;5;2,4;0;26;214;13;28;11;0,6;0,23;0,04;0,23;2;0;0,12;0,11;0,1;0,6;0,15;55;0;69
Kalafior gotowany, z maslem;100;;;Y;;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;83;6,8;2;5,5;1,8;20;32;150;11;24;9;0,5;0,2;0,03;0,18;59;0,07;0,26;0,053;0,056;0,29;0,07;23,1;0;25,7
Kalafior mrozony;;;;;;;;;;;;20;0,2;2,2;4,5;2,2;0;21;173;11;23;9;0,5;0,19;0,03;0,19;2;0;0,11;0,089;0,081;0,49;0,12;44;0;43,5
Kalarepa;;;;;;;;;;;;29;0,3;2,2;6,5;2,2;0;8;304;42;46;10;0,9;0,26;0,16;0,15;33;0;0,02;0,064;0,053;0,3;0,14;20;0;64,7
Kalarepa mrozona;;;;;;;;;;;;27;0,3;2;5,9;2;0;7;246;34;37;8;0,7;0,21;0,13;0,12;30;0;0,02;0,052;0,043;0,24;0,11;18;0;40,8
Kapusniak mrozony;200;;;Y;Y;Y;;Y;Zupy;Zupy;Potrawy;35;0,2;1,4;9;2,1;0;21;253;30;32;14;0,4;0,3;0,06;0,18;199;0;0,94;0,061;0,045;0,69;0,13;41;0;19,2
Kapusniak z kwaszonej kapusty;200;;;Y;Y;Y;;Y;Zupy;Zupy;Potrawy;22;1,2;1,5;1,7;0,4;1;59;53;8;11;3;0,2;0,11;0,02;0,03;4;0,02;0,03;0,014;0,025;0,3;0,07;1,9;0,01;1,6
Kapusniak ze slodkiej kapusty;200;;;Y;Y;Y;;Y;Zupy;Zupy;Potrawy;32;2,1;0,7;3,2;0,7;3;11;87;20;15;5;0,2;0,13;0,02;0,06;72;0,07;0,78;0,019;0,025;0,21;0,04;9,3;0,02;6
Kapusta biala;;;;;;;;;;;;29;0,2;1,7;7,4;2,5;0;19;228;67;33;13;0,3;0,32;0,03;0,23;9;0;1,67;0,072;0,06;0,36;0,08;57;0;48
Kapusta biala gotowana, zasmazana;100;;;Y;Y;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;69;4,7;1,6;7,1;2;5;16;180;52;28;10;0,3;0,26;0,03;0,18;6;0,03;1,24;0,07;0,054;0,41;0,07;22,3;0,03;28,4
Kapusta biala mrozona;;;;;;;;;;;;26;0,2;1,5;6,7;2,3;0;15;185;54;27;11;0,2;0,26;0,02;0,19;8;0;1,5;0,058;0,049;0,29;0,06;51,3;0;30,2
Kapusta czerwona;75;y;y;y;y;y;y;y;Warzywa ;warzywa i przetwory warzywne;Produkty;27;0,2;1,9;6,7;2,5;0;11;269;46;31;12;0,5;0,43;0,09;0,24;3;0;1,7;0,099;0,073;0,69;0,2;34;0;54
Kapusta kwaszona;75;y;y;y;y;y;y;y;Warzywa ;warzywa i przetwory warzywne;Produkty;12;0,2;1,1;3,4;2,1;0;260;211;36;18;7;0,5;0,24;0,04;0,14;3;0;0;0,03;0,06;0,1;0,17;16;0;16
Kapusta pekinska;75;y;y;y;y;y;y;y;Warzywa ;warzywa i przetwory warzywne;Produkty;12;0,2;1,2;3,2;1,9;0;9;150;45;37;15;0,3;0,28;0,04;0,15;140;0;0,12;0,04;0,05;0,4;0,23;77;0;27
Kapusta wloska;;;;;;;;;;;;38;0,4;3,3;7,8;2,6;0;9;306;77;49;16;0,4;0,27;0,09;0,31;7;0;2;0,1;0,26;0,6;0,3;80;0;60
Kapusta wloska mrozona;;;;;;;;;;;;35;0,4;3;7;2,3;0;7;248;62;40;13;0,3;0,22;0,07;0,25;6;0;1,8;0,081;0,211;0,49;0,24;72;0;37,8
Karmelki nadziewane;;;;;;;;;;;;378;0,5;0,3;92;0,3;0;80;18;23;12;18;1,4;0,2;0,13;0,07;0;0;0;0;0;0;0;0;0;0
Karmelki nadziewane z witaminami;;;;;;;;;;;;378;0,5;0,3;92;0,3;0;80;18;23;12;18;1,4;0,2;0,13;0,07;0;0;41,4;5,8;7,1;62,4;6,3;800;18,7;247,8
Karmelki twarde;;;;;;;;;;;;399;0;0;98,2;0;0;30;3;23;16;3;0,4;0,08;0,02;0,03;0;0;0;0;0;0;0;0;0;0
Karmelki twarde z witamina C;;;;;;;;;;;;399;0;0;98,2;0;0;30;3;23;16;3;0,4;0,08;0,02;0,03;0;0;0;0;0;0;0;0;0;450
Karp swiezy;;;;;;;;;Ryby swieze;Ryby i przetwory rybne;Produkty;110;4,2;18;0;0;70;30;387;10;215;12;0,7;0,9;0,1;0,05;44;5;0,63;0,068;0,05;1,5;0,17;10;2;1
Karp w galarecie z warzywami;150;;Y;Y;Y;Y;;Y;Potrawy rybne;Potrawy rybne;Potrawy;137;2,9;26,1;2,1;0,9;58;97;295;20;138;16;0,7;0,75;0,08;0,1;186;2,7;0,49;0,037;0,085;0,77;0,11;14;1,14;4,3
Karp z wody;150;;;Y;Y;Y;;Y;Potrawy rybne;Potrawy rybne;Potrawy;102;3,7;16;2;1;60;41;414;21;199;16;0,8;0,9;0,12;0,11;195;4,32;0,69;0,05;0,057;1,18;0,15;13,9;1,73;7,4
Kasza gryczana;;;;;;;;;Kasze;Produkty zbozowe;Produkty;336;3,1;12,6;69,3;5,9;0;5;443;25;459;218;2,8;3,5;0,41;2,04;0;0;0,31;0,541;0,127;1,95;0,67;32;0;0
Kasza gryczana na sypko z tluszczem roslinnym;75;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;132;2,3;4,5;25;2,1;0;4;160;9;165;78;1;1,26;0,15;0,73;10;0,08;0,48;0,173;0,046;0,7;0,21;6,4;0;0
Kasza gryczana na sypko ze smalcem;75;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;138;2,9;4,8;25;2,1;2;7;164;9;166;79;1;1,27;0,15;0,73;0;0;0,12;0,174;0,058;0,7;0,22;6,7;0;0
Kasza jaglana;;;;;;;;;Kasze;Produkty zbozowe;Produkty;346;2,9;10,5;71,6;3,2;0;5;220;10;240;100;4,8;3,4;0,78;1,61;0;0;0,1;0,73;0,38;2,3;0,75;30;0;0
Kasza jeczmienna na mleku;75;Y;Y;Y;Y;Y;;Y;Zupy mleczne;Zupy;Potrawy;63;2,2;2,6;8,5;0,4;8;29;109;78;70;11;0,2;0,27;0,03;0,07;20;0,02;0,07;0,033;0,117;0,28;0,04;2,6;0,27;0
Kasza jeczmienna peczak;;;;;;;;;Kasze;Produkty zbozowe;Produkty;334;2;8,4;74,9;5,4;0;5;228;20;181;45;1,9;0,92;0,18;0,75;0;0;0,47;0,135;0,04;2,19;0,24;19;0;0
Kasza jeczmienna perlowa;;;;;;;;;Kasze;Produkty zbozowe;Produkty;327;2,2;6,9;75;6,2;0;4;264;20;206;45;1,6;0,92;0,18;0,75;0;0;0,22;0,186;0,089;3;0,24;20;0;0
Kasza manna;;;;;;;;;Kasze;Produkty zbozowe;Produkty;348;1,3;8,7;76,7;2,5;0;3;116;17;93;18;0,9;0,85;0,1;0,36;0;0;0,1;0,113;0,028;0,74;0,07;23;0;0
Kasza manna na mleku;75;Y;Y;Y;Y;Y;;Y;Zupy mleczne;Zupy;Potrawy;67;2,1;2,7;9,3;0,2;8;28;96;76;60;9;0,1;0,26;0,02;0,04;20;0,02;0,06;0,027;0,109;0,12;0,03;2,7;0,27;0
Kasza manna na wywarze jarzynowym;;;;;;;;;;;;21;0,8;0,5;3,4;0,4;2;5;30;4;8;2;0,1;0,07;0,01;0,03;68;0,01;0,1;0,009;0,008;0,1;0,02;1,9;0;2
Kasza perlowa na sypko z tluszczem roslinnym;75;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;114;2;2,2;23,6;2;0;3;83;6;65;14;0,5;0,29;0,06;0,24;14;0,09;0,45;0,049;0,023;0,84;0,07;3,5;0;0
Kasza perlowa na sypko ze smalcem;75;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;119;2,5;2,2;23,6;2;2;1;83;6;65;14;0,5;0,29;0,06;0,24;0;0;0,08;0,049;0,023;0,84;0,07;3,5;0;0
Kaszanka z kurczaka;;;;;;;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;204;11,7;9,8;16,4;1,4;57;892;190;23;127;45;6,6;1,09;0,17;0,37;10;0,41;0,45;0,196;0,253;1,9;0,22;6;0,57;1,3
Kawa napar bez cukru;;;;;;;;;;;;2;0;0,2;0,3;0;0;14;126;9;11;12;0,2;0,07;0,05;0,05;0;0;0;0;0,01;0,7;0;0;0;0
Kefir 2% tluszczu;75;y;y;;y;y;;y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;51;2;3,4;4,7;0;8;38;122;103;74;10;0,1;0,28;0,02;0;16;0,03;0,03;0,028;0,131;0,09;0,04;5;0,5;0
Kefir 2% tluszczu z wapniem;75;y;y;;y;y;;y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;51;2;3,4;4,7;0;8;38;122;293;74;10;0,1;0,28;0,02;0;16;0,03;0,03;0,028;0,131;0,09;0,04;5;0,5;0
Keks bakaliowy;;;;;;;;;;;;385;17,5;6,5;53,7;3,6;87;91;337;103;145;33;1,6;0,77;0,19;0,24;163;0,8;2,92;0,071;0,179;0,63;0,09;15,5;0,27;0,3
Kielbasa delikatesowa z kurczaka;;;;;;;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;109;3,3;19,6;0,1;0;65;779;359;10;222;34;0,7;0,91;0,08;0,04;12;0,04;0,27;0,081;0,184;7,1;0,4;8;0,29;0
Kielbasa domowa;;;;;;;;;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;320;29,2;14,7;0,5;0,1;65;826;243;7;139;17;1,4;2,09;0,07;0,04;3;0,55;0,67;0,394;0,18;4,32;0,36;3;0,68;0,5
Kielbasa jalowcowa z kurczaka;;;;;;;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;236;17,9;19;0,1;0;93;630;342;40;231;32;1,2;1,29;0,1;0,05;16;0,14;0,53;0,125;0,244;5,18;0,39;8;0,38;0
Kielbasa kanapkowa z kurczaka;;;;;;;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;179;13,5;11,8;3;0,1;65;720;154;72;133;18;1,6;1,16;0,06;0,04;16;0,3;0,22;0,044;0,142;2,64;0,16;4;0,38;1,8
Kielbasa krakowska sucha;75;y;y;;y;y;;y;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;323;24,8;25,6;0;0;82;1273;429;8;275;33;2,1;3,38;0,11;0,04;2;0,82;0,71;0,808;0,332;8,17;0,73;3;0,9;0
Kielbasa lubuska;75;y;y;;y;y;;y;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;249;18;17,5;4,8;0,1;54;1465;401;13;217;22;1,7;2,16;0,13;0,08;0;0,56;0,18;0,472;0,202;4,37;0,36;2;0,5;0,7
Kielbasa mazurska z indyka;;;;;;;;;Wedliny z indyka;Mieso i przetwory miesne;Produkty;129;7,7;14,8;0,1;0;62;603;295;5;171;26;1;1,86;0,04;0,01;16;0,1;0,12;0,031;0,131;1,04;0,18;2;0,48;0
Kielbasa mortadela;;;;;;;;;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;205;17,7;12;0;0;44;698;169;13;105;12;1,2;1,74;0,05;0,02;3;0,39;0,28;0,167;0,127;2,76;0,19;2;0,54;0
Kielbasa mortadela z indyka;;;;;;;;;Wedliny z indyka;Mieso i przetwory miesne;Produkty;209;18,5;11;0,1;0;68;772;192;17;173;23;1,2;1,65;0,06;0,04;17;0,22;0,15;0,046;0,155;2,72;0,16;9;0,98;1,7
Kielbasa mysliwska sucha;;;;;;;;;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;291;20,1;27,8;0;0;84;1291;463;10;269;33;2,5;3,85;0,12;0,05;5;0,87;0,32;0,621;0,305;7,67;0,59;5;1,08;0
Kielbasa parowkowa;100;y;y;;y;y;;y;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;323;31,5;11;0;0;55;839;134;15;90;9;1,2;1,4;0,05;0,02;3;0,47;0,47;0,151;0,12;2,43;0,17;2;0,56;0
Kielbasa podlaska z kurczaka;;;;;;;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;232;16,7;20,7;0,1;0;101;520;373;35;248;32;1,3;1,6;0,13;0,04;20;0,18;0,3;0,095;0,275;3,77;0,34;9;0,41;0,1
Kielbasa podsuszana z kurczaka;;;;;;;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;162;8,4;21,7;0;0;94;1039;375;39;256;38;1,2;1,42;0,08;0,02;18;0,09;0,31;0,086;0,26;6,01;0,41;9;0,38;0
Kielbasa podwawelska;75;y;y;;y;y;;y;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;247;19,6;17,3;0,9;0,1;59;1017;303;10;172;22;1,5;2,32;0,1;0,06;0;0,62;0,2;0,513;0,201;4,78;0,39;2,1;0,55;0,7
Kielbasa rzeszowska;;;;;;;;;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;203;13,4;20,9;0;0;61;976;356;7;217;26;1,8;2,87;0,1;0,04;1;0,65;0,27;0,595;0,252;6,24;0,52;3;0,69;0
Kielbasa slaska;75;y;y;;y;y;;y;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;210;15,3;18,4;0;0;58;885;323;7;189;23;1,6;2,56;0,09;0,03;0;0,61;0,23;0,555;0,225;5,46;0,45;2,1;0,57;0
Kielbasa szynkowa z indyka;;;;;;;;;Wedliny z indyka;Mieso i przetwory miesne;Produkty;88;2;17,2;0,2;0;61;900;392;6;211;35;0,7;1,7;0,06;0,04;14;0,07;0,02;0,047;0,185;5,24;0,39;11;0,88;0,1
Kielbasa szynkowa z kurczaka;;;;;;;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;110;5;16,2;0;0;69;725;302;10;191;28;0,8;1,2;0,1;0,04;17;0,08;0,25;0,069;0,205;2,55;0,27;7;0,27;0
Kielbasa torunska;;;;;;;;;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;263;20,1;20,9;0;0;69;1007;347;9;197;24;1,9;2,98;0,1;0,04;3;0,71;0,23;0,505;0,229;5,6;0,43;3;0,77;0
Kielbasa zwyczajna;75;y;y;;y;y;;y;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;209;15,6;17,6;0;0;53;848;258;13;161;19;1,6;2,47;0,08;0,03;4;0,53;0,16;0,298;0,178;4,14;0,29;3;0,68;0
Kielbasa zywiecka;;;;;;;;;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;315;26,3;20,3;0;0;75;1031;328;7;189;23;1,9;2,9;0,08;0,03;6;0,67;0,64;0,41;0,231;5,7;0,45;4;0,96;0
Kielbaski bawarskie;;;;;;;;;;;;308;27,7;15,5;0,1;0;62;853;264;12;150;20;1,6;2,16;0,08;0,08;1;0,6;0,4;0,45;0,188;4,38;0,35;2;0,59;0
Kisiel porzeczkowy;150;Y;Y;;Y;Y;;Y;Desery;Desery;Potrawy;98;0,1;0,3;25,7;2;0;1;77;12;15;5;0,3;0,08;0,03;0,19;2;0;0,16;0,011;0,007;0,08;0,01;2,3;0;8,2
Kisiel w proszku;;;;;;;;;;;;377;0;0,2;92,7;0,1;0;80;6;14;20;3;0,2;0,03;0,02;0,07;0;0;0;0;0;0;0;4,5;0;0,5
