0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Nazwa;Waga nom.;S;DS.;O;P;K;CUSTOM;Samodzielne;Podkategoria;Kategoria glowna;Typ;Kalorie;Tluszcz;Bialko;Weglowodany;Cost;Prep t;id
Ciastka tortowe ze swiezymi owocami;50;;y;;y;;y;y;Ciastka;Przekaski;Produkty;275;8,8;3,3;47,1;26;100;134
Ciasto drozdzowe;50;;y;;y;;y;y;Wypieki;Desery;Produkty;290;8;7,7;47,7;19;40;135
Ciasto kruche podstawowe;50;;y;;y;;y;y;Wypieki;Desery;Produkty;435;23,6;5,5;51,4;8;30;136
Ciasto nalesnikowe bez piany;150;Y;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;174;4,2;6,2;28,3;16;40;137
Ciasto nalesnikowe biszkoptowe;150;Y;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;187;5,9;8,5;25,5;23;90;138
Cielecina lopatka;;;;;;;;;Cielecina;Mieso i przetwory miesne;Produkty;106;2,8;19,9;0;5;40;139
Cielecina sznyclowka;;;;;;;;;Cielecina;Mieso i przetwory miesne;Produkty;105;2,4;20,5;0;8;10;140
Cielecina udziec;;;;;;;;;Cielecina;Mieso i przetwory miesne;Produkty;108;3,1;19,9;0;19;70;141
Cielecina w potrawce;150;;;Y;;Y;;Y;Potrawy z cieleciny;Potrawy miesne;Potrawy;104;4,1;13,5;3,9;20;70;142
Coca cola, pepsi cola;;;;;;;;;;;;42;0;0;10,4;22;50;143
Cukier;;;;;;;;;;;;405;0;0;99,8;29;80;144
Cukinia;;;;;;;;;;;;15;0,1;1,2;3,2;10;30;145
Cukinia mrozona;;;;;;;;;;;;15;0,1;1,2;3,2;32;10;146
Cwikla;150;;;Y;;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;40;0,1;1,6;10,2;34;90;147
Cykoria;;;;;;;;;;;;21;0,2;1,7;4,1;21;80;148
Cytryna;;;;;;;;;;;;36;0,3;0,8;9,5;28;10;149
Czarne jagody;;;;;;;;;;;;45;0,6;0,8;12,2;14;100;150
Czarne jagody mrozone;;;;;;;;;;;;45;0,6;0,8;12,2;21;70;151
Czekolada biala;50;;y;;y;;y;y;Slodycze;Przekaski;Produkty;578;38,4;7,7;51;13;10;152
Czekolada deserowa;50;;y;;y;;y;y;Slodycze;Przekaski;Produkty;531;28,9;5,3;64;19;60;153
Czekolada gorzka;50;;y;;y;;y;y;Slodycze;Przekaski;Produkty;554;34,3;6,7;56,6;13;40;154
Czekolada kawowa;50;;y;;y;;y;y;Slodycze;Przekaski;Produkty;526;29;5,5;62,7;20;30;155
Czekolada mleczna;50;;y;;y;;y;y;Slodycze;Przekaski;Produkty;549;32,8;9,8;54,7;11;60;156
Czekolada mleczna z orzechami laskowymi;50;;y;;y;;y;y;Slodycze;Przekaski;Produkty;539;30,9;8,6;57,3;8;80;157
Czekolada nadziewana;50;;y;;y;;y;y;Slodycze;Przekaski;Produkty;450;17,6;3,9;68,8;10;10;158
Czekolada smietankowa z orzechami laskowymi;50;;y;;y;;y;y;Slodycze;Przekaski;Produkty;585;42,3;8,6;45,7;6;60;159
Czeresnie;75;y;y;;y;;y;y;owoce swieze;owoce i przetwory owocowe;Produkty;61;0,3;1;14,6;15;60;160
Czosnek;;;;;;;;;;;;146;0,5;6,4;32,6;13;60;161
Daktyle suszone;;;;;;;;;;;;277;0,4;2;74;5;20;162
Delicje szampanskie;;;;;;;;;;;;327;11,2;4,1;52,8;28;50;163
Deser mleczny ryzowo-jablkowy;;;;;;;;;Desery mleczne;Mleko i przetwory mleczne;Produkty;134;3;2,8;23,9;8;80;164
Deser mleczny ryzowo-waniliowy;;;;;;;;;Desery mleczne;Mleko i przetwory mleczne;Produkty;133;2,9;3;23,5;22;30;165
Deser twarogowy termizowany kakaowy;;;;;;;;;Sery twarogowe;Mleko i przetwory mleczne;Produkty;156;6,2;13,9;11,2;35;20;166
Deser twarogowy termizowany truskawkowy;;;;;;;;;Sery twarogowe;Mleko i przetwory mleczne;Produkty;170;5,8;11;18,3;10;30;167
Dorsz pulpety;150;;;Y;;Y;;Y;Potrawy rybne;Potrawy rybne;Potrawy;112;2,6;14,3;8,7;6;100;168
Dorsz swiezy;150;;;Y;;Y;;Y;Potrawy rybne;Potrawy rybne;Potrawy;78;0,7;17,7;0;10;10;169
Dorsz swiezy filet bez skory;;;;;;;;;Ryby swieze;Ryby i przetwory rybne;Produkty;70;0,3;16,5;0;30;100;170
Dorsz w jarzynach;150;;;Y;;Y;;Y;Potrawy rybne;Potrawy rybne;Potrawy;120;5,2;15,6;3,9;24;70;171
Dorsz wedzony;;;;;;;;;Ryby wedzone;Ryby i przetwory rybne;Produkty;94;0,5;22,1;0;25;90;172
Dorsz z rusztu;150;;;Y;;Y;;Y;Potrawy rybne;Potrawy rybne;Potrawy;172;9,1;22,1;0,6;32;90;173
Dorsz, filety panierowane smazone;150;;;Y;;Y;;Y;Potrawy rybne;Potrawy rybne;Potrawy;273;15,8;19,2;14,5;15;60;174
Dorsz, filety po grecku;150;;;Y;;Y;;Y;Potrawy rybne;Potrawy rybne;Potrawy;152;10,8;10,6;4,6;24;50;175
Dorsz, kotlet mielony smazony;150;;;Y;;Y;;Y;Potrawy rybne;Potrawy rybne;Potrawy;260;17,8;15;10,9;11;30;176
Drozdze piekarskie prasowane;;;;;;;;;;;;92;2;11,3;14,5;13;80;177
Dynia;;;;;;;;;;;;28;0,3;1,3;7,7;8;60;178
Dynia pestki;;;;;;;;;;;;556;45,8;24,5;18;26;30;179
Dynia z pomidorami;150;Y;Y;Y;Y;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;44;2,4;1,2;6,5;19;60;180
Dzem ananasowy niskoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;157;0,1;0,2;38,6;7;70;181
Dzem brzoskwiniowy niskoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;155;0,1;0,5;38,3;29;20;182
Dzem jagodowy niskoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;153;0,2;0,3;38,2;32;10;183
Dzem morelowy niskoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;157;0,1;0,4;38,8;16;20;184
Dzem pomaranczowy niskoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;159;0,1;0,3;39,2;5;40;185
Dzem sliwkowy niskoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;153;0,1;0,3;37,9;8;40;186
Dzem sliwkowy wysokoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;251;0,1;0,3;62,1;18;40;187
Dzem truskawkowy niskoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;153;0,2;0,3;37,8;13;70;188
Dzem truskawkowy niskoslodzony z witamina C;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;153;0,2;0,3;37,8;8;60;189
Dzem truskawkowy wysokoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;252;0,2;0,3;62,3;22;80;190
Dzem wisniowy niskoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;154;0,2;0,4;37,5;5;40;191
Dzem wisniowy wysokoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;252;0,2;0,4;61,7;31;40;192
Dzem z czarnych porzeczek niskoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;152;0,1;0,5;39,6;5;10;193
Dzem z czarnych porzeczek wysokoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;251;0,1;0,5;63,9;7;10;194
Dzem z owocow kiwi niskoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;154;0,2;0,4;37,8;33;60;195
Eklery z bita smietana;;;;;;;;;;;;326;18;5,9;35,5;6;70;196
Fasola biala nasiona suche;;;;;;;;;;;;288;1,6;21,4;61,6;35;50;197
Fasola cieta konserwowa bez zalewy;;;;;;;;;;;;16;0,2;1,5;4,5;35;60;198
Fasola mung kielki;;;;;;;;;;;;29;0,4;3;6,2;34;100;199
Fasola po bretonsku;200;;Y;Y;Y;Y;;Y;Potrawy warzywno-miesne;Potrawy warzywno-miesne;Potrawy;141;6,6;8;15,9;32;100;200
Fasola szparagowa;;;;;;;;;;;;27;0,2;2,4;7,6;8;50;201
Fasola szparagowa gotowana, z maslem;100;;Y;Y;Y;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;97;6,9;2,9;10,3;20;90;202
Fasolka flageolet konserwowa;;;;;;;;;przetwory warzywne;warzywa i przetwory warzywne;Produkty;61;0,2;6,3;15;26;10;203
Fasolka szparagowa mrozona;;;;;;;;;;;;24;0,2;2,2;6,8;11;20;204
Faworki luksusowe;;;;;;;;;;;;511;31,6;8,8;49,5;11;50;205
Figi suszone;50;y;y;;y;y;y;y;owoce suszone;owoce i przetwory owocowe;Produkty;290;1,2;3,6;78;24;60;206
Fladra swieza;;;;;;;;;;;;83;1,8;16,5;0;5;90;207
Flaki;;;;;;;;;Podroby;Mieso i przetwory miesne;Produkty;84;2,2;16;0;31;80;208
