0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Nazwa;Waga nom.;S;DS.;O;P;K;CUSTOM;Samodzielne;Podkategoria;Kategoria glowna;Typ;Kalorie;Tluszcz;Bialko;Weglowodany;Cost;Prep t;id
Margaryna miekka 50% tluszczu;;;;;;;;;Margaryny;Tluszcze;Produkty;442;50;0;0;13;20;420
Margaryna miekka 60% tluszczu;;;;;;;;;Margaryny;Tluszcze;Produkty;533;60;0,2;0,3;25;50;421
Margaryna miekka 70% tluszczu;;;;;;;;;Margaryny;Tluszcze;Produkty;621;70;0,1;0,4;5;100;422
Margaryna miekka 80% tluszczu;;;;;;;;;Margaryny;Tluszcze;Produkty;710;80;0,3;0,4;30;20;423
Margaryna twarda 80% tluszczu;;;;;;;;;Margaryny;Tluszcze;Produkty;710;80;0,3;0,4;26;100;424
Markizy;;;;;;;;;;;;483;23;5,6;64,3;14;80;425
Maslanka 0,5% tluszczu z wapniem;150;y;y;y;y;y;;y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;37;0,5;3,4;4,7;14;30;426
Maslanka spozywcza 0,5% tluszczu;;;;;;;;;Napoje mleczne;Mleko i przetwory mleczne;Produkty;37;0,5;3,4;4,7;26;10;427
Maslo extra;;;;;;;;;Tluszcze zwierzece;Tluszcze;Produkty;735;82,5;0,7;0,7;5;10;428
Maslo smietankowe;;;;;;;;;Tluszcze zwierzece;Tluszcze;Produkty;659;73,5;1,1;1,1;21;10;429
Medaliony z indyka smazone;150;;;Y;;Y;;Y;Potrawy drobiowe;Potrawy miesne;Potrawy;247;17,9;18,6;3,4;6;90;430
Melon;75;y;y;;y;y;y;y;owoce swieze;owoce i przetwory owocowe;Produkty;36;0,3;0,9;8,4;17;30;431
Mielonka (Luncheon meat);;;;;;;;;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;171;11,7;12,8;3,7;24;100;432
Mieso z piersi indyka bez skory;;;;;;;;;Indyk;Mieso i przetwory miesne;Produkty;84;0,7;19,2;0;34;40;433
Mieso z piersi indyka ze skora;;;;;;;;;Indyk;Mieso i przetwory miesne;Produkty;100;2,7;18,7;0;16;100;434
Mieso z piersi kurczaka bez skory;;;;;;;;;Kura i kurczak;Mieso i przetwory miesne;Produkty;99;1,3;21,5;0;33;50;435
Mieso z podudzia indyka bez skory;;;;;;;;;Indyk;Mieso i przetwory miesne;Produkty;100;3,7;16,6;0;7;30;436
Mieso z podudzia indyka ze skora;;;;;;;;;Indyk;Mieso i przetwory miesne;Produkty;142;8,9;15,7;0;35;30;437
Mieso z ud kurczaka bez skory;;;;;;;;;Kura i kurczak;Mieso i przetwory miesne;Produkty;125;6;17,8;0;28;40;438
Mieso z ud kurczaka ze skora;;;;;;;;;Kura i kurczak;Mieso i przetwory miesne;Produkty;158;10,2;16,8;0;9;100;439
Mieso z udzca indyka bez skory;;;;;;;;;Indyk;Mieso i przetwory miesne;Produkty;104;2,8;19,4;0;16;50;440
Mieso z udzca indyka ze skora;;;;;;;;;Indyk;Mieso i przetwory miesne;Produkty;131;6,4;18,4;0;31;100;441
Mieso ze skrzydel indyka bez skory;;;;;;;;;Indyk;Mieso i przetwory miesne;Produkty;115;4,7;18;0;6;40;442
Mieso ze skrzydel indyka ze skora;;;;;;;;;Indyk;Mieso i przetwory miesne;Produkty;168;11,4;16,5;0;30;90;443
Mieszanka owocowa mrozona;;;;;;;;;;;;40;0,3;0,9;12,1;7;10;444
Mieszanka warzywna z kurczakiem i makaronem mrozona;200;;Y;Y;Y;Y;;Y;mieszanki warzywne mrozone;warzywa i przetwory warzywne;Produkty;90;2,6;4,8;13,2;31;80;445
Mieszanka warzywna z kurczakiem i ryzem mrozona;200;;Y;Y;Y;Y;;Y;mieszanki warzywne mrozone;warzywa i przetwory warzywne;Produkty;101;2,7;5,1;15,8;9;20;446
Mieszanka warzywna z kurczakiem ryzem fasola czerwona mrozon;200;;Y;Y;Y;Y;;Y;mieszanki warzywne mrozone;warzywa i przetwory warzywne;Produkty;103;2,6;5,3;16,7;20;100;447
Mieszanka warzywna z kurczakiem ryzem grzybami chinskimi mro;200;;Y;Y;Y;Y;;Y;mieszanki warzywne mrozone;warzywa i przetwory warzywne;Produkty;87;2,4;4,3;13,3;7;40;448
Mieszanka warzywna z makaronem i wedzonka wieprzowa mrozona;200;;Y;Y;Y;Y;;Y;mieszanki warzywne mrozone;warzywa i przetwory warzywne;Produkty;84;3;4,6;11,7;14;40;449
Mieszanka warzywna z przyprawami mrozona;200;;Y;Y;Y;Y;;Y;mieszanki warzywne mrozone;warzywa i przetwory warzywne;Produkty;38;0,3;1,9;8,8;25;60;450
Mieszanka warzywna z ziemniakami i wedzonka wieprzowa mrozon;200;;Y;Y;Y;Y;;Y;mieszanki warzywne mrozone;warzywa i przetwory warzywne;Produkty;70;3,1;3,6;8,8;10;50;451
Migdaly;;;;;;;;;;;;572;52;20;20,5;5;20;452
Mintaj swiezy;;;;;;;;;Ryby swieze;Ryby i przetwory rybne;Produkty;73;0,6;16,6;0;22;50;453
Miod pszczeli;;;;;;;;;;;;324;0;0,3;79,5;18;10;454
Miod sztuczny;;;;;;;;;;;;336;0;0,1;82,5;20;20;455
Mizeria ze smietana;100;Y;Y;Y;Y;Y;;Y;Surowki;Potrawy z warzyw;Potrawy;33;2,2;1;2,8;29;80;456
Mleko kobiece;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;72;4,3;1,3;7;32;10;457
Mleko kozie;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;68;4,1;3,2;4,5;5;10;458
Mleko odtluszczone w proszku;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;360;0,8;35,7;51,2;30;70;459
Mleko owcze;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;107;7;6;5,1;23;40;460
Mleko pelne w proszku;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;479;24;27;38,7;7;20;461
Mleko spozywcze 0,5% tluszczu;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;39;0,5;3,5;5,1;30;80;462
Mleko spozywcze 1,5% tluszczu;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;47;1,5;3,4;5;5;60;463
Mleko spozywcze 2% tluszczu;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;51;2;3,4;4,9;13;60;464
Mleko spozywcze 3,2% tluszczu;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;61;3,2;3,3;4,8;9;80;465
Mleko spozywcze 3,5% tluszczu;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;64;3,5;3,3;4,8;9;60;466
Mleko UHT 0,5% tluszczu;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;39;0,5;3,5;5,1;17;20;467
Mleko UHT 1,5% tluszczu;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;47;1,5;3,4;5;11;80;468
Mleko UHT 1,5% tluszczu z witaminami;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;47;1,5;3,4;5;26;100;469
Mleko UHT 3,2% tluszczu;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;61;3,2;3,3;4,8;14;30;470
Mleko zageszczone nieslodzone;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;131;7,5;6,6;9,4;6;70;471
Mleko zageszczone slodzone;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;326;8;7,5;55,3;16;90;472
Morele;75;y;y;;y;y;y;y;owoce swieze;owoce i przetwory owocowe;Produkty;47;0,2;0,9;11,9;14;10;473
Morele suszone;75;y;y;;y;y;y;y;owoce suszone;owoce i przetwory owocowe;Produkty;284;1,2;5,4;72,2;7;80;474
Morszczuk swiezy;;;;;;;;;Ryby swieze;Ryby i przetwory rybne;Produkty;89;2,2;17,2;0;6;30;475
Mozg wieprzowy;;;;;;;;;Podroby;Mieso i przetwory miesne;Produkty;139;10,6;11,1;0;23;80;476
Mus jablkowy;100;Y;Y;Y;Y;Y;;Y;Desery;Desery;Potrawy;124;0,2;2,2;28,7;5;40;477
Musli z owocami suszonymi;100;Y;Y;;Y;Y;;Y;Produkty sniadaniowe;Produkty zbozowe;Produkty;325;3,4;8,4;72,2;35;70;478
Musli z rodzynkami i orzechami;100;Y;Y;;Y;Y;;Y;Produkty sniadaniowe;Produkty zbozowe;Produkty;375;12,7;11,5;62,9;19;100;479
Musztarda;;;;;;;;;;;;162;6,4;5,7;22;10;30;480
Nalesniki z kapusta;200;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;147;9,2;3,3;15,1;13;30;481
Nalesniki z serem twarogowym;200;Y;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;242;10,3;10,2;27,3;28;20;482
Napoj jablkowo-mietowy;;;;;;;;;;;;42;0,1;0,1;10,1;32;70;483
Napoj jablkowy;;;;;;;;;;;;39;0;0;9,6;35;30;484
Napoj jablkowy z czerwonym winogronem;;;;;;;;;;;;43;0;0;10,7;34;80;485
Napoj jablkowy z czerwonym winogronem i witaminami;;;;;;;;;;;;43;0;0;10,7;18;20;486
Napoj jablkowy z wisnia;;;;;;;;;;;;39;0;0;9,6;13;60;487
Napoj jablkowy z wisnia i witaminami;;;;;;;;;;;;39;0;0;9,6;30;100;488
Napoj jablkowy z witaminami;;;;;;;;;;;;39;0;0;9,6;5;90;489
Napoj mleczny jogurtowy;200;Y;Y;;Y;Y;;Y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;82;1,9;4;12,1;24;70;490
Napoj mleczny kakaowy;200;Y;Y;;Y;Y;;Y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;81;2,1;3,3;12,1;26;70;491
Napoj mleczny serwatkowo-smietankowy;200;Y;Y;;Y;Y;;Y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;73;2,2;0,9;12,4;17;30;492
Napoj mleczny smietankowy;200;Y;Y;;Y;Y;;Y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;63;0,5;3,5;10,9;27;30;493
Napoj mleczny z truskawkami;200;Y;Y;;Y;Y;;Y;Desery;Desery;Potrawy;109;0,7;1,2;24,9;33;70;494
Napoj pomaranczowy;;;;;;;;;;;;43;0;0,1;10,5;10;20;495
Napoj pomaranczowy z witaminami;;;;;;;;;;;;43;0;0,1;10,5;24;20;496
Napoj winogronowy;;;;;;;;;;;;36;0;0;9,1;34;50;497
Napoj winogronowy z witaminami;;;;;;;;;;;;36;0;0;9,1;26;40;498
Napoje gazowane o smaku owocowym;;;;;;;;;;;;42;0;0;10,3;19;70;499
Nektar ananasowy;;;;;;;;;;;;41;0,1;0,1;9,8;33;20;500
Nektar ananasowy z witaminami;;;;;;;;;;;;41;0,1;0,1;9,8;19;40;501
Nektar brzoskwiniowy;;;;;;;;;;;;55;0,1;0,3;13,4;31;20;502
Nektar brzoskwiniowy z witaminami;;;;;;;;;;;;55;0,1;0,3;13,4;22;60;503
Nektar wisniowy;;;;;;;;;;;;50;0,1;0,3;12,1;20;80;504
Nektar wisniowy z witaminami;;;;;;;;;;;;50;0,1;0,3;12,1;8;90;505
Nektar z bialych grejpfrutow;;;;;;;;;;;;37;0,1;0,2;8,7;19;20;506
Nektar z bialych grejpfrutow z witaminami;;;;;;;;;;;;37;0,1;0,2;8,7;31;90;507
Nektar z czarnych porzeczek;;;;;;;;;;;;53;0,1;0,3;12,7;21;60;508
Nektar z czarnych porzeczek z witaminami;;;;;;;;;;;;53;0,1;0,3;12,7;35;20;509
Nektar z rozowych grejpfrutow;;;;;;;;;;;;36;0,1;0,2;8,6;8;50;510
Nektar z rozowych grejpfrutow z witaminami;;;;;;;;;;;;36;0,1;0,2;8,6;20;30;511
Nektarynka;75;y;y;;y;y;y;y;owoce swieze;owoce i przetwory owocowe;Produkty;48;0,2;0,9;11,8;14;100;512
Nerki wieprzowe;;;;;;;;;Podroby;Mieso i przetwory miesne;Produkty;102;3,8;16,8;0;33;20;513
Noga (udo) kurczaka;;;;;;;;;Kura i kurczak;Mieso i przetwory miesne;Produkty;158;10,2;16,8;0;32;60;514
Nogi wieprzowe;;;;;;;;;Podroby;Mieso i przetwory miesne;Produkty;274;20,4;23;0;31;100;515
Ogorek;;;;;;;;;;;;13;0,1;0,7;2,9;34;20;516
Ogorek kwaszony;;;;;;;;;;;;11;0,1;1;1,9;21;60;517
Ogorki konserwowe;;;;;;;;;;;;24;0,1;0,3;5,6;26;40;518
Ogorki mizeria mrozone;;;;;;;;;;;;12;0,1;0,6;2,6;19;100;519
Ogorki z papryka, konserwowe;;;;;;;;;;;;41;0,1;0,3;9,9;14;70;520
Okon swiezy;;;;;;;;;Ryby swieze;Ryby i przetwory rybne;Produkty;82;0,8;18,4;0;5;70;521
Olej krokoszowy;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;29;30;522
Olej kukurydziany;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;21;70;523
Olej palmowy;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;31;10;524
Olej rzepakowo-sojowy;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;7;20;525
Olej rzepakowy o obnizonej zawartosci kwasu erukowego;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;7;50;526
Olej rzepakowy tloczony na zimno;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;7;80;527
Olej rzepakowy uniwersalny;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;25;30;528
Olej sezamowy;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;11;60;529
Olej slonecznikowy;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;31;100;530
Olej sojowy;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;7;10;531
Olej z pestek winogron;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;25;60;532
Olej z zarodkow pszennych;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;17;60;533
Oliwa z oliwek;;;;;;;;;;;;882;99,6;0;0,2;31;80;534
Oliwki zielone marynowane konserwowe;;;;;;;;;;;;125;12,7;1,4;4,1;33;40;535
Omlet biszkoptowy ze szpinakiem;200;Y;Y;Y;Y;Y;;Y;Potrawy z jaj;Potrawy z jaj;Potrawy;138;9,7;5,9;9,3;8;70;536
Orzech kokosowy;;;;;;;;;;;;335;33,5;3,4;15,2;17;70;537
Orzechy arachidowe;;;;;;;;;;;;560;46,1;25,7;19,2;34;40;538
Orzechy laskowe;;;;;;;;;;;;640;63;14,4;14,9;14;20;539
Orzechy pistacjowe;;;;;;;;;;;;589;48,5;20,5;25;10;20;540
Orzechy wloskie;;;;;;;;;;;;645;60,3;16;18;17;80;541
Otreby pszenne;50;Y;Y;Y;Y;Y;;Y;Produkty sniadaniowe;Produkty zbozowe;Produkty;185;4,6;16;61,9;9;40;542
Ozor wieprzowy;;;;;;;;;Podroby;Mieso i przetwory miesne;Produkty;165;11,1;16,5;0;27;70;543
Ozory w galarecie;;;;;;;;;Wedliny podrobowe;Mieso i przetwory miesne;Produkty;141;7,6;16,7;1,7;33;50;544
Paczki tradycyjne;;;;;;;;;;;;414;15,5;7,6;62,1;7;10;545
Paluszki z kminkiem;;;;;;;;;;;;490;30,5;16,5;38,9;20;80;546
Papaja;;;;;;;;;;;;41;0,1;0,6;11,1;16;10;547
Papryka czerwona;;;;;;;;;;;;28;0,5;1,3;6,6;28;80;548
Papryka czerwona konserwowa;;;;;;;;;;;;30;1,5;0,8;5;21;50;549
Papryka czerwona mrozona;;;;;;;;;;;;28;0,5;1,3;6,6;28;70;550
Papryka nadziewana miesem i ryzem;75;;Y;Y;Y;Y;;Y;Potrawy warzywno-miesne;Potrawy warzywno-miesne;Potrawy;153;10;3,9;13,7;17;80;551
Papryka zielona;;;;;;;;;;;;18;0,3;1,1;4,6;11;30;552
"Paprykarz ""Szczecinski""";;;;;;;;;Przetwory rybne;Ryby i przetwory rybne;Produkty;178;11,9;9,9;8,6;18;70;553
Paprykarz mrozony;;;;;;;;;mieszanki warzywne mrozone;warzywa i przetwory warzywne;Produkty;19;0,3;1,1;4,4;5;20;554
Paroweczki sniadaniowe z olejem;100;y;y;;;;;y;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;234;20,9;11,9;0,1;35;40;555
Parowki popularne;100;y;y;;y;y;;y;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;342;34,3;9,5;0;22;40;556
Parowki z kurczaka;100;y;y;;y;y;;y;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;259;22,4;10,8;4,2;21;100;557
Pasta kanapkowa z kurczaka;;;;;;;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;156;11,3;10,4;3,5;8;20;558
Pasta z jaj;75;Y;Y;Y;Y;Y;;Y;Przystawki;Przystawki;Potrawy;197;18,6;7,2;1,2;35;80;559
Pasta z jaj i ryby wedzonej;75;Y;Y;Y;Y;Y;;Y;Przystawki;Przystawki;Potrawy;262;23,1;13,3;1,2;18;60;560
Pasta z twarogu i ryby wedzonej;75;Y;Y;Y;Y;Y;;Y;Przystawki;Przystawki;Potrawy;273;23;15,2;1,9;23;40;561
Pasternak;;;;;;;;;;;;57;0,6;1,6;15,5;9;70;562
Paszteciki drozdzowe z miesem;150;;;y;;y;;y;Produkty obiadowe;Produkty zbozowe;Produkty;343;20,4;9,7;31,9;20;20;563
Pasztet pieczony;;;;;;;;;Wedliny podrobowe;Mieso i przetwory miesne;Produkty;390;31,2;17;13,5;31;20;564
Pasztet podlaski z kurczaka;;;;;;;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;228;21,1;6,7;3,6;28;80;565
Pasztet rybny;;;;;;;;;Przetwory rybne;Ryby i przetwory rybne;Produkty;265;21,3;10,6;8,8;13;20;566
Pasztet z kurczaka pieczony;;;;;;;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;214;14,3;14,4;7,5;18;20;567
Pasztet z miesa mieszanego pieczony;75;Y;Y;Y;Y;Y;;Y;Potrawy z miesa mieszanego;Potrawy miesne;Potrawy;361;31,1;15,1;6,5;31;40;568
Pasztet z ryb wedzonych;;;;;;;;;Przetwory rybne;Ryby i przetwory rybne;Produkty;151;10,6;12,9;1,2;9;70;569
Pieczarka uprawna swieza;;;;;;;;;;;;17;0,4;2,7;2,6;25;70;570
Pieczarki marynowane konserwowe;;;;;;;;;;;;19;0,4;2,3;4,3;20;50;571
Pieczarki smazone;75;;Y;Y;Y;Y;;Y;Potrawy z grzybow;Potrawy z warzyw;Potrawy;232;24,3;3,4;3,3;9;70;572
Pieczen cieleca duszona;150;;Y;Y;Y;Y;;Y;Potrawy z cieleciny;Potrawy miesne;Potrawy;192;11,8;20,1;1,7;26;40;573
Pieczen rzymska;150;;Y;Y;Y;Y;;Y;Potrawy z miesa mieszanego;Potrawy miesne;Potrawy;208;11,4;14,5;12,5;32;70;574
Pieczen wieprzowa duszona;150;;Y;Y;Y;Y;;Y;Potrawy z wieprzowiny;Potrawy miesne;Potrawy;225;19,8;11,4;1,2;6;80;575
Pieczen wolowa duszona;150;;Y;Y;Y;Y;;Y;Potrawy z wolowiny;Potrawy miesne;Potrawy;156;9,5;15,8;1,9;29;70;576
Pieczen z kurczaka z pieczarkami;;;;;;;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;180;10,2;13,8;9,1;33;70;577
Pieczen z kurczaka z serem zoltym;;;;;;;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;205;12,1;16;8,8;6;20;578
Pieczen zulawska;150;;Y;Y;Y;Y;;Y;Wedliny podrobowe;Mieso i przetwory miesne;Produkty;170;11,7;13,8;2,6;14;80;579
Pieczywo polfrancuskie z dzemem;50;;;;;;;;Pieczywo pszenne polcukiernicze;Produkty zbozowe;Produkty;410;9,9;8,3;73;14;10;580
Pieczywo polfrancuskie z serem;50;;;;;;;;Pieczywo pszenne polcukiernicze;Produkty zbozowe;Produkty;396;10;10,7;66,6;32;20;581
Pieczywo tostowe;50;;;;;;;;Pieczywo pszenne wyborowe;Produkty zbozowe;Produkty;305;4,7;8,1;58,8;19;100;582
Pieczywo tostowe grahamowe;50;;;;;;;;Pieczywo pszenne wyborowe;Produkty zbozowe;Produkty;273;4,2;7,5;53,8;25;20;583
Piernik z bakaliami;;;;;;;;;;;;373;12,4;6,6;60,9;9;20;584
Pierniki alpejskie;;;;;;;;;;;;368;9,7;4;66,3;33;30;585
Pierniki beskidzkie;;;;;;;;;;;;338;1,6;3,5;77,3;33;90;586
Pierogi ruskie;150;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;167;5;5,9;25,5;21;10;587
Pierogi z miesem;150;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;205;10,1;11,9;17,1;20;70;588
Pierogi z serem twarogowym;150;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;239;9,9;11,1;26,6;9;20;589
Pierogi z truskawkami;150;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;241;11,4;4,1;32,1;6;60;590
Pietruszka korzen;;;;;;;;;;;;38;0,5;2,6;10,5;25;40;591
Pietruszka korzen mrozona;;;;;;;;;;;;34;0,5;2,3;9,5;31;60;592
Pietruszka liscie;;;;;;;;;;;;41;0,4;4,4;9;28;40;593
Pikle konserwowe;;;;;;;;;;;;62;0,2;1,3;15,5;26;20;594
Piwo pelne;;;;;;;;;;;;49;0;0,5;3,8;26;70;595
Pizza miesno-ziolowa;100;Y;Y;Y;Y;Y;;Y;Produkty obiadowe;Produkty zbozowe;Produkty;332;13,2;18;36,8;30;30;596
Pizza z pieczarkami i cebula;100;Y;Y;Y;Y;Y;;Y;Produkty obiadowe;Produkty zbozowe;Produkty;293;13,1;13,3;32,1;19;70;597
Placek z kruszonka;;;;;;;;;;;;375;13,6;7,5;56,7;32;20;598
Placki ziemniaczane;100;y;y;y;y;y;y;y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;231;14,5;3,6;23,6;16;70;599
Planta tluszcz roslinny;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;19;20;600
Platki jeczmienne;;;;;;;;;Produkty sniadaniowe;Produkty zbozowe;Produkty;355;3,6;9,8;79,4;18;50;601
Platki kukurydziane;100;Y;Y;;Y;Y;;Y;Produkty sniadaniowe;Produkty zbozowe;Produkty;363;2,5;6,9;83,6;31;40;602
Platki kukurydziane z cukrem z witaminami i zelazem;100;Y;Y;;Y;Y;;Y;Produkty sniadaniowe;Produkty zbozowe;Produkty;375;1,7;4,6;88,4;18;30;603
Platki kukurydziane z miodem, orzechami, witaminami, zelazem;100;Y;Y;;Y;Y;;Y;Produkty sniadaniowe;Produkty zbozowe;Produkty;387;5,1;6,4;82,6;9;50;604
Platki kukurydziane z witaminami i zelazem;100;Y;Y;;Y;Y;;Y;Produkty sniadaniowe;Produkty zbozowe;Produkty;363;2,5;6,9;83,6;17;80;605
Platki owsiane;;;;;;;;;Produkty sniadaniowe;Produkty zbozowe;Produkty;366;7,2;11,9;69,3;18;80;606
Platki owsiane na mleku;200;Y;Y;;Y;Y;;Y;Zupy mleczne;Zupy;Potrawy;62;2,3;2,7;8,2;18;70;607
Platki pszenne;;;;;;;;;Produkty sniadaniowe;Produkty zbozowe;Produkty;351;3;9;81;25;80;608
Platki ziemniaczane;;;;;;;;;;;;335;2,5;6,7;78,2;32;10;609
Platki zytnie;;;;;;;;;Produkty sniadaniowe;Produkty zbozowe;Produkty;343;3,2;6,4;82,6;24;40;610
Poledwica luksusowa;;;;;;;;;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;177;10;19,5;2,4;6;80;611
Poledwica sopocka;;;;;;;;;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;165;9,1;19,9;0,9;8;80;612
Poledwica w galarecie;;;;;;;;;Wedliny podrobowe;Mieso i przetwory miesne;Produkty;101;4,4;14,5;1,4;25;40;613
Poledwica wolowa pieczona;150;;;Y;;Y;;Y;Potrawy z wolowiny;Potrawy miesne;Potrawy;168;9,9;19,7;0;33;40;614
Poledwica z indyka;;;;;;;;;Wedliny z indyka;Mieso i przetwory miesne;Produkty;105;4,6;15,8;0,1;19;90;615
Poledwica z piersi kurczaka;;;;;;;;;Wedliny z indyka;Mieso i przetwory miesne;Produkty;93;1,2;20,4;0;26;40;616
Pomarancza;;;;;;;;;;;;44;0,2;0,9;11,3;34;70;617
Pomidor;;;;;;;;;;;;15;0,2;0,9;3,6;23;40;618
Pomidor mrozony;;;;;;;;;;;;15;0,2;0,9;3,6;35;80;619
Por;;;;;;;;;;;;24;0,3;2,2;5,7;32;30;620
Por mrozony;;;;;;;;;;;;24;0,3;2,2;5,7;32;50;621
Porzeczki biale;;;;;;;;;;;;33;0,2;1;13,1;13;40;622
Porzeczki czarne;;;;;;;;;;;;35;0,2;1,3;14,9;12;90;623
Porzeczki czarne mrozone;;;;;;;;;;;;35;0,2;1,3;14,9;27;70;624
Porzeczki czerwone;;;;;;;;;;;;31;0,2;1,1;13,8;24;80;625
Potrawka z kurczaka;150;Y;Y;Y;Y;Y;;Y;Potrawy drobiowe;Potrawy miesne;Potrawy;148;9;13,3;4,6;28;60;626
Powidla sliwkowe;;;;;;;;;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;214;0,2;1;53;11;70;627
Poziomki;;;;;;;;;;;;33;0,5;0,8;8,3;8;70;628
Proszek jajeczny;;;;;;;;;Jaja;Mleko i przetwory mleczne;Produkty;576;41,7;48,4;2,7;26;30;629
"Przyprawa ""Jarzynka""";;;;;;;;;;;;90;0,4;1,9;23,3;32;40;630
Pstrag strumieniowy swiezy;;;;;;;;;Ryby swieze;Ryby i przetwory rybne;Produkty;97;2,1;19,2;0;35;90;631
Pstrag teczowy swiezy;;;;;;;;;Ryby swieze;Ryby i przetwory rybne;Produkty;160;9,6;18,6;0;23;70;632
Ptysie z bita smietana;;;;;;;;;;;;346;24,9;5,5;25,7;23;100;633
Pulpety z miesa mieszanego gotowane;150;;;Y;Y;Y;;Y;Potrawy z miesa mieszanego;Potrawy miesne;Potrawy;223;11,1;18,8;13,3;6;50;634
Pumpernikiel;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;240;2;5,9;58,2;13;60;635
Pyzy ziemniaczane;150;;;Y;;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;210;6,2;3,7;37,4;34;70;636
Pyzy ziemniaczane w proszku;;;;;;;;;;;;324;1,4;5,1;77,3;29;60;637
Pyzy ziemniaczane z miesem;150;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;292;14;7,9;36,2;25;30;638
Rabarbar;;;;;;;;;;;;9;0,1;0,5;4,6;6;30;639
Risotto z miesem;;;;;;;;;;;;228;11,9;6,8;24,2;27;100;640
Risotto z miesem i warzywami;150;Y;Y;Y;Y;Y;;Y;Potrawy warzywno-miesne;Potrawy warzywno-miesne;Potrawy;185;10;6,6;18,3;22;80;641
Rodzynki suszone;;;;;;;;;;;;277;0,5;2,3;71,2;23;100;642
