Nazwa;Podkategoria;Kategoria g³owna;;Kalorie;Tluszcz;Bialko;Weglowodany
Krupnik z kaszy jeczmiennej;Zupy;Zupy;Potrawy;40;0,9;1,5;7,4
Krupnik z ryzu;Zupy;Zupy;Potrawy;43;1,1;1,5;7,6
Kulebiak;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;222;12,7;7,8;19,9
Kura w galarecie;Potrawy drobiowe;Potrawy miesne;Potrawy;192;8,8;27,3;1,2
Kurczak w jarzynach gotowany;Potrawy drobiowe;Potrawy miesne;Potrawy;99;6,4;7,6;4,6
Kurczeta pieczone;Potrawy drobiowe;Potrawy miesne;Potrawy;179;12,7;16,4;0,1
Lazanki z biala kapusta;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;147;6,9;3,7;18,9
Leniwe pierogi z sera twarogowego;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;242;13,9;14,6;15
Leniwe pierogi z sera twarogowego i ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;220;10,1;12,9;20
Losos saute smazony;Potrawy rybne;Potrawy rybne;Potrawy;380;31,4;21,2;4
Losos z rusztu;Potrawy rybne;Potrawy rybne;Potrawy;283;22,3;20,7;0,6
Makaron gotowany;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;108;0,7;3,5;22,1
Makaron na mleku;Zupy mleczne;Zupy;Potrawy;65;2,2;2,9;8,6
Makaron z maslem, gotowany;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;126;1,8;3,8;24,2
Makaron z serem twarogowym i maslem;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;141;5,2;6,5;17,3
Makaron zapiekany z biala kapusta;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;138;5,2;3,7;21,2
Marchewka gotowana, zasmazana;Warzywa gotowane;Potrawy z warzyw;Potrawy;69;4,8;1,1;8,4
Marchewka z groszkiem gotowana;Warzywa gotowane;Potrawy z warzyw;Potrawy;64;3,1;1,7;10,7
Medaliony z indyka smazone;Potrawy drobiowe;Potrawy miesne;Potrawy;247;17,9;18,6;3,4
Mizeria ze smietana;Surowki;Potrawy z warzyw;Potrawy;33;2,2;1;2,8
Mus jablkowy;Desery;Desery;Potrawy;124;0,2;2,2;28,7
Nalesniki z kapusta;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;147;9,2;3,3;15,1
Nalesniki z serem twarogowym;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;242;10,3;10,2;27,3
Napoj mleczny z truskawkami;Desery;Desery;Potrawy;109;0,7;1,2;24,9
Omlet biszkoptowy ze szpinakiem;Potrawy z jaj;Potrawy z jaj;Potrawy;138;9,7;5,9;9,3
Papryka nadziewana miesem i ryzem;Potrawy warzywno-miesne;Potrawy warzywno-miesne;Potrawy;153;10;3,9;13,7
Pasta z jaj;Przystawki;Przystawki;Potrawy;197;18,6;7,2;1,2
Pasta z jaj i ryby wedzonej;Przystawki;Przystawki;Potrawy;262;23,1;13,3;1,2
Pasta z twarogu i ryby wedzonej;Przystawki;Przystawki;Potrawy;273;23;15,2;1,9
Pasztet z miesa mieszanego pieczony;Potrawy z miesa mieszanego;Potrawy miesne;Potrawy;361;31,1;15,1;6,5
